12:48:09:67 [main] WARN  org.hibernate.orm.deprecation -HHH90000025: MySQLDialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
12:48:10:32 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator -HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
12:48:10:41 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean -Initialized JPA EntityManagerFactory for persistence unit 'default'
12:48:10:76 [main] INFO  o.s.d.j.r.query.QueryEnhancerFactory -Hibernate is in classpath; If applicable, HQL parser will be used.
12:48:10:90 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration -spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
12:48:11:18 [main] INFO  o.a.coyote.http11.Http11NioProtocol -Starting ProtocolHandler ["http-nio-8080"]
12:48:11:19 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer -Tomcat started on port 8080 (http) with context path ''
12:48:11:20 [main] INFO  com.example.HctbankApplication -Started HctbankApplication in 3.839 seconds (process running for 4.557)
12:49:00:82 [RMI TCP Connection(3)-127.0.0.1] INFO  o.s.b.a.SpringApplicationAdminMXBeanRegistrar$SpringApplicationAdmin -Application shutdown requested.
12:49:00:82 [RMI TCP Connection(3)-127.0.0.1] INFO  o.a.coyote.http11.Http11NioProtocol -Stopping ProtocolHandler ["http-nio-8080"]
12:49:00:83 [RMI TCP Connection(3)-127.0.0.1] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean -Closing JPA EntityManagerFactory for persistence unit 'default'
12:49:00:84 [RMI TCP Connection(3)-127.0.0.1] INFO  com.zaxxer.hikari.HikariDataSource -HikariPool-1 - Shutdown initiated...
12:49:00:85 [RMI TCP Connection(3)-127.0.0.1] INFO  com.zaxxer.hikari.HikariDataSource -HikariPool-1 - Shutdown completed.
13:22:29:50 [main] INFO  com.example.HctbankApplication -Starting HctbankApplication using Java 17.0.1 with PID 9030 (/Users/rampraneethreddy/Downloads/newbank/hctbank2/target/classes started by rampraneethreddy in /Users/rampraneethreddy/Downloads/newbank/hctbank2)
13:22:29:51 [main] INFO  com.example.HctbankApplication -No active profile set, falling back to 1 default profile: "default"
13:22:30:24 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate -Bootstrapping Spring Data JPA repositories in DEFAULT mode.
13:22:30:32 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate -Finished Spring Data repository scanning in 65 ms. Found 6 JPA repository interfaces.
13:22:30:80 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer -Tomcat initialized with port 8080 (http)
13:22:30:81 [main] INFO  o.a.coyote.http11.Http11NioProtocol -Initializing ProtocolHandler ["http-nio-8080"]
13:22:30:82 [main] INFO  o.a.catalina.core.StandardService -Starting service [Tomcat]
13:22:30:82 [main] INFO  o.a.catalina.core.StandardEngine -Starting Servlet engine: [Apache Tomcat/10.1.19]
13:22:30:86 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] -Initializing Spring embedded WebApplicationContext
13:22:30:86 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext -Root WebApplicationContext: initialization completed in 1315 ms
13:22:30:99 [main] INFO  o.h.jpa.internal.util.LogHelper -HHH000204: Processing PersistenceUnitInfo [name: default]
13:22:31:02 [main] INFO  org.hibernate.Version -HHH000412: Hibernate ORM core version 6.4.4.Final
13:22:31:04 [main] INFO  o.h.c.i.RegionFactoryInitiator -HHH000026: Second-level cache disabled
13:22:31:17 [main] INFO  o.s.o.j.p.SpringPersistenceUnitInfo -No LoadTimeWeaver setup: ignoring JPA class transformer
13:22:31:23 [main] INFO  com.zaxxer.hikari.HikariDataSource -HikariPool-1 - Starting...
13:22:31:53 [main] INFO  com.zaxxer.hikari.pool.HikariPool -HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@4b5798c2
13:22:31:53 [main] INFO  com.zaxxer.hikari.HikariDataSource -HikariPool-1 - Start completed.
